#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
HOLD_ELECTION_EFFECT;A $TITLE$ titulus esetén választásokat tartanak\n;Élection en $TITLE$.\n;Eine Wahl wird gehalten in $TITLE$.\n;;Elección en $TITLE$.\n;;;;;;;;;x
TITLE_NEW_PRIMARY_NOT_SAME_RANK;§Raz új elsõdleges titulusodnak azonos rangúnak kell lennie az elõzõvel!;§RLe nouveau titre principal doit être du même niveau que le précédent !;§RDer neue Primärtitel muss vom gleichen Rang wie der vorige sein!;;¡§REl nuevo título principal tiene que ser del mismo rango que el anterior!;;;;;;;;;x
TITLE_NEW_PRIMARY_IS_SAME;Ez már az elsõdleges titulusod!;C'est déjà votre titre principal !;Dies ist bereits Euer Primärtitel!;;¡Ya es vuestro título principal!;;;;;;;;;x
TITLE_NEW_PRIMARY_IS_PATRICIAN;§RNem lehet egy patríciusi település az elsõdleges titulusod!!;§RVous ne pouvez pas associer votre titre principal à une colonie patricienne !;§REine bürgerliche Siedlung kann nicht als Primärtitel ausgewählt werden!;;¡§RNo podéis establecer vuestro título principal sobre un asentamiento patricio!;;;;;;;;;x
asked_for_claim;Követelésért folyamodott;Demandé revendication;Um Anspruch gebetet;;Solicitó derecho;;;;;;;;;x
REQUEST_ANSWER_YES;§GEz a követelés el lesz fogadva§!;Cette demand serait accepté;Dieses Anspruch wurde akzeptiert werden;;Esta solicitud será aceptada;;;;;;;;;x
REQUEST_ANSWER_MAYBE;§YEz a követelés lehet el lesz fogadva§!;Cette demand pourrait être accepté;Dieses Anspruch wird vielleicht akzeptiert;;Esta solicitud podría ser aceptada;;;;;;;;;x
REQUEST_ANSWER_NO;§REz a követelés el lesz utasítva§!;Cette demand serait refusée;Dieses Anspruch wurde abgelehnt werden;;Esta solicitud será denegada;;;;;;;;;x
HymnsOfAbrahamDLC;Hymns of Abraham;Hymnes d'Abraham;Die Hymnen von Abraham;;Himnos de Abraham;;;;;;;;;x
WoFUPDLC;Warriors of Faith Unit Pack;Pack d'Unites Guerriers de la Foi;Einheitenpack Krieger des Glaubens;;Pack de Unidades Guerreros de la Fe;;;;;;;;;x
MOUPDLC;Military Orders Unit Pack;Pack d'Unites Ordres Militaires;Einheitenpack Ritterorden;;Pack de Unidades Ordenes Militares;;;;;;;;;x
REVOKE_TITLE_TOOLTIP;Visszavonod §Y$TITLE$§! titulusát §Y$HOLDER$§! Személyétõl;Annuler le titre de §Y$TITLE$§! de §Y$HOLDER$§!;Der Titel von §Y$TITLE$§! von §Y$HOLDER$§! entziehen;;Revocar el título de §Y$TITLE$§! de §Y$HOLDER$§!;;;;;;;;;x
DESTROY_TITLE_TOOPTIP;Megszünteted §Y$TITLE$§! titulusát;Détruir le titre de §Y$TITLE$§!;Der Titel von §Y$TITLE$§! vernichten;;Destruir el título de §Y$TITLE$§!;;;;;;;;;x
TITLE_DESTROY_TOOLTIP_IS_NOT_PRIMARY;Ez a titulus NEM elsõdleges titulus;Le titre non est le titre principal;Der Titel ist nicht der Haupttitel;;El título no es el título principal;;;;;;;;;x
TITLE_DESTROY_TOOLTIP_CAN_AFFORD;Nem engedhetsz meg §Y$PRESTIGE$§! tekintély veszteséget;Dispose d'assez de prestige pour en perdre §Y$PRESTIGE$§!;Kann es sich leisten, §Y$PRESTIGE$§! Prestige zu verlieren;;Puede permitirse perder §Y$PRESTIGE$§! prestigio;;;;;;;;;x
TITLE_DESTROY_IS_NOT_GAVELKIND;Örökösítési rend NEM Gavelkind-szerû;Droit de successions non est Partage Salique;Nachfolge ist nicht Gavelkind;;Tipo de sucesión no es Partes Iguales;;;;;;;;;x
temple_baron_jewish_group;Rabbi;Rabbin;Rabbiner;;Rabino;;;;;;;;;x
temple_count_jewish_group;Kohen;Kohen;Kohen;;Kohen;;;;;;;;;x
temple_duke_jewish_group;Rabban;Rabban;Rabban;;Rabban;;;;;;;;;x
temple_king_jewish_group;Nasi;Nassi;Nasi;;Nasi;;;;;;;;;x
